product_id,product_code,product_name,category_id,manufacturer_name,brand_name,jan_code,unit,standard_price,purchase_price,stock_control_flag,sales_start_date,sales_end_date,created_at,updated_at
1,PRD001,りんご（青森産）,1,青森フルーツ,ゴールデンアップル,4901234567890,個,150.00,100.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
2,PRD002,バナナ（フィリピン産）,1,トロピカルフーズ,スウィートバナナ,4901234567891,房,200.00,130.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
3,PRD003,牛乳（1L）,2,北海道ミルク,ミルクファーム,4901234567892,本,220.00,180.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
4,PRD004,食パン（6枚切り）,2,東京ベーカリー,ふんわりブレッド,4901234567893,袋,250.00,170.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
5,PRD005,卵（10個入り）,2,関西エッグ,たまご倶楽部,4901234567894,パック,300.00,210.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
6,PRD006,サラダ油（1L）,3,日本オイル,ヘルシーオイル,4901234567895,本,500.00,400.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
7,PRD007,しょうゆ（1L）,3,関西調味料,伝統の味,4901234567896,本,350.00,280.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
8,PRD008,カレー粉（中辛）,3,スパイスジャパン,本格カレー,4901234567897,箱,450.00,370.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
9,PRD009,ペットボトル水（500ml）,4,清流ウォーター,クリアウォーター,4901234567898,本,100.00,70.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
10,PRD010,スポーツドリンク（500ml）,4,スポドリカンパニー,リフレッシュウォーター,4901234567899,本,130.00,90.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
11,PRD011,コーヒー（インスタント）,5,コーヒーショップ,アロマブレンド,4901234567800,瓶,600.00,500.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
12,PRD012,紅茶（ティーバッグ）,5,ティータイム,アフタヌーンティー,4901234567801,箱,400.00,320.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
13,PRD013,ビール（350ml）,6,ビール工房,クラフトビール,4901234567802,缶,250.00,200.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
14,PRD014,ワイン（赤）,6,ワインセラー,フルボディ,4901234567803,本,1500.00,1200.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
15,PRD015,チーズ（スライス）,7,チーズ工房,クリーミーセレクション,4901234567804,パック,800.00,600.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
16,PRD016,ハム（スライス）,7,シャルキュトリー,デリカテッセン,4901234567805,パック,700.00,500.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
17,PRD017,サーモン（スモーク）,8,シーフードマーケット,スモークセレクション,4901234567806,パック,1200.00,900.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
18,PRD018,冷凍ピザ（マルゲリータ）,8,イタリアンデリ,フレッシュピザ,4901234567807,箱,1500.00,1200.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
19,PRD019,冷凍フライドポテト（1kg）,9,フライドポテト工房,クリスピーポテト,4901234567808,袋,800.00,600.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00
20,PRD020,冷凍野菜ミックス（500g）,9,フレッシュファーム,グリーンセレクション,4901234567809,袋,400.00,300.00,true,2025-01-01,,2025-04-01 10:00:00,2025-04-01 10:00:00